type,index,hw,cin,cout,kernel,stride,latency
conv,0,1,1,1,1,1,2.999544143676758e-05
conv,1,1,1,1,1,3,2.0012855529785156e-05
conv,2,1,1,1,1,5,2.0003318786621095e-05
conv,3,1,1,1,1,7,2.002716064453125e-05
conv,4,1,1,2,1,1,2.000570297241211e-05
conv,5,1,1,2,1,3,2.000570297241211e-05
conv,6,1,1,2,1,5,2.000570297241211e-05
conv,7,1,1,2,1,7,2.0110607147216796e-05
conv,8,1,1,4,1,1,1.9917488098144533e-05
conv,9,1,1,4,1,3,2.0000934600830078e-05
conv,10,1,1,4,1,5,2.0003318786621095e-05
conv,11,1,1,4,1,7,2.0008087158203125e-05
conv,12,1,1,8,1,1,3.000497817993164e-05
conv,13,1,1,8,1,3,2.000570297241211e-05
conv,14,1,1,8,1,5,2.0003318786621095e-05
conv,15,1,1,8,1,7,2.000570297241211e-05
conv,16,1,1,16,1,1,3.000497817993164e-05
conv,17,1,1,16,1,3,2.000570297241211e-05
conv,18,1,1,16,1,5,2.0003318786621095e-05
conv,19,1,1,16,1,7,2.000570297241211e-05
conv,20,1,1,32,1,1,2.000570297241211e-05
conv,21,1,1,32,1,3,2.000570297241211e-05
conv,22,1,1,32,1,5,1.0004043579101563e-05
conv,23,1,1,32,1,7,2.000570297241211e-05
conv,24,1,1,64,1,1,2.0003318786621095e-05
conv,25,1,1,64,1,3,2.0003318786621095e-05
conv,26,1,1,64,1,5,2.000570297241211e-05
conv,27,1,1,64,1,7,2.000570297241211e-05
conv,28,1,1,128,1,1,2.0003318786621095e-05
conv,29,1,1,128,1,3,2.000570297241211e-05
conv,30,1,1,128,1,5,2.0008087158203125e-05
conv,31,1,1,128,1,7,1.999855041503906e-05
conv,32,1,1,256,1,1,3.000497817993164e-05
conv,33,1,1,256,1,3,2.0003318786621095e-05
conv,34,1,1,256,1,5,3.156900405883789e-05
conv,35,1,1,256,1,7,2.0015239715576173e-05
conv,36,1,1,512,1,1,2.0000934600830078e-05
conv,37,1,1,512,1,3,2.0003318786621095e-05
conv,38,1,1,512,1,5,2.0003318786621095e-05
conv,39,1,1,512,1,7,2.0000934600830078e-05
conv,40,1,2,1,1,1,2.0003318786621095e-05
conv,41,1,2,1,1,3,3.999710083007812e-05
conv,42,1,2,1,1,5,2.0008087158203125e-05
conv,43,1,2,1,1,7,5.0008296966552734e-05
conv,44,1,2,2,1,1,2.000570297241211e-05
conv,45,1,2,2,1,3,2.0003318786621095e-05
conv,46,1,2,2,1,5,2.0003318786621095e-05
conv,47,1,2,2,1,7,2.0008087158203125e-05
conv,48,1,2,4,1,1,3.000497817993164e-05
conv,49,1,2,4,1,3,2.0003318786621095e-05
conv,50,1,2,4,1,5,3.0009746551513673e-05
conv,51,1,2,4,1,7,2.0008087158203125e-05
conv,52,1,2,8,1,1,3.000020980834961e-05
conv,53,1,2,8,1,3,2.000570297241211e-05
conv,54,1,2,8,1,5,3.0007362365722656e-05
conv,55,1,2,8,1,7,2.0003318786621095e-05
conv,56,1,2,16,1,1,2.000570297241211e-05
conv,57,1,2,16,1,3,3.0007362365722656e-05
conv,58,1,2,16,1,5,2.0003318786621095e-05
conv,59,1,2,16,1,7,3.0007362365722656e-05
conv,60,1,2,32,1,1,3.0007362365722656e-05
conv,61,1,2,32,1,3,2.000570297241211e-05
conv,62,1,2,32,1,5,2.0003318786621095e-05
conv,63,1,2,32,1,7,2.000570297241211e-05
conv,64,1,2,64,1,1,2.0003318786621095e-05
conv,65,1,2,64,1,3,3.0007362365722656e-05
conv,66,1,2,64,1,5,2.0008087158203125e-05
conv,67,1,2,64,1,7,2.0003318786621095e-05
conv,68,1,2,128,1,1,3.0007362365722656e-05
conv,69,1,2,128,1,3,3.0007362365722656e-05
conv,70,1,2,128,1,5,2.0008087158203125e-05
conv,71,1,2,128,1,7,2.0003318786621095e-05
conv,72,1,2,256,1,1,3.0009746551513673e-05
conv,73,1,2,256,1,3,2.0000934600830078e-05
conv,74,1,2,256,1,5,2.0003318786621095e-05
conv,75,1,2,256,1,7,3.000497817993164e-05
conv,76,1,2,512,1,1,2.000570297241211e-05
conv,77,1,2,512,1,3,2.0000934600830078e-05
conv,78,1,2,512,1,5,4.001140594482422e-05
conv,79,1,2,512,1,7,2.0003318786621095e-05
conv,80,1,4,1,1,1,2.000570297241211e-05
conv,81,1,4,1,1,3,3.0007362365722656e-05
conv,82,1,4,1,1,5,2.0010471343994142e-05
conv,83,1,4,1,1,7,2.0003318786621095e-05
conv,84,1,4,2,1,1,3.0126571655273437e-05
conv,85,1,4,2,1,3,2.000570297241211e-05
conv,86,1,4,2,1,5,3.000497817993164e-05
conv,87,1,4,2,1,7,2.000570297241211e-05
conv,88,1,4,4,1,1,2.000570297241211e-05
conv,89,1,4,4,1,3,2.0003318786621095e-05
conv,90,1,4,4,1,5,3.0007362365722656e-05
conv,91,1,4,4,1,7,2.0003318786621095e-05
conv,92,1,4,8,1,1,3.000497817993164e-05
conv,93,1,4,8,1,3,2.0008087158203125e-05
conv,94,1,4,8,1,5,3.000497817993164e-05
conv,95,1,4,8,1,7,3.0007362365722656e-05
conv,96,1,4,16,1,1,2.5029182434082032e-05
conv,97,1,4,16,1,3,2.0008087158203125e-05
conv,98,1,4,16,1,5,2.0003318786621095e-05
conv,99,1,4,16,1,7,3.0007362365722656e-05
conv,100,1,4,32,1,1,1.9917488098144533e-05
conv,101,1,4,32,1,3,3.0007362365722656e-05
conv,102,1,4,32,1,5,3.0007362365722656e-05
conv,103,1,4,32,1,7,2.000570297241211e-05
conv,104,1,4,64,1,1,2.0000934600830078e-05
conv,105,1,4,64,1,3,3.0007362365722656e-05
conv,106,1,4,64,1,5,2.0003318786621095e-05
conv,107,1,4,64,1,7,3.0009746551513673e-05
conv,108,1,4,128,1,1,3.000497817993164e-05
conv,109,1,4,128,1,3,3.000497817993164e-05
conv,110,1,4,128,1,5,2.000570297241211e-05
conv,111,1,4,128,1,7,3.0007362365722656e-05
